Ticket_ID,Subject,Description,Category,Priority
TKT-00001,Urgent: Can you provide a comparison between the Pro and Ent...,Urgent: Can you provide a comparison between the Pro and Enterprise tiers? FYI — ,General Inquiry,Medium
TKT-00002,Where can I find your community forum or user group?,Where can I find your community forum or user group?,General Inquiry,Low
TKT-00003,"By the way, Why was I charged a different amount than what's...","By the way, Why was I charged a different amount than what's shown on the pricing page? Thanks in advance. ",Billing,Medium
TKT-00004,We are evaluating your product for a 5000-seat enterprise de...,We are evaluating your product for a 5000-seat enterprise deal. Need info ASAP.,General Inquiry,High
TKT-00005,Appreciate your help. Can I provide feedback on a recent sup...,Appreciate your help. Can I provide feedback on a recent support interaction? We've been waiting for days. ,General Inquiry,Low
TKT-00006,Unauthorized charge on my account. I did not authorize this ...,Unauthorized charge on my account. I did not authorize this transaction at all.,Billing,High
TKT-00007,Is there a student discount available for the premium plan?,Is there a student discount available for the premium plan?,Billing,Low
TKT-00008,We've been waiting for days. Why was I charged a different a...,We've been waiting for days. Why was I charged a different amount than what's shown on the pricing page?,Billing,Medium
TKT-00009,The dashboard loads very slowly — takes over 30 seconds ever...,The dashboard loads very slowly — takes over 30 seconds every time.,Technical,Medium
TKT-00010,Someone changed my email address on file. I think my account...,Someone changed my email address on file. I think my account was hacked.,Account Access,High
TKT-00011,Legal team requires your updated data processing agreement w...,Legal team requires your updated data processing agreement within 24 hours.,General Inquiry,High
TKT-00012,I cancelled my plan last week but was still charged the full...,I cancelled my plan last week but was still charged the full annual fee today.,Billing,High
TKT-00013,"Dear support, Critical data loss after the latest update. We...","Dear support, Critical data loss after the latest update. We need recovery immediately.",Technical,High
TKT-00014,Please note: Can you add keyboard shortcuts for the most com...,Please note: Can you add keyboard shortcuts for the most common actions?,Technical,Low
TKT-00015,Where can I find your community forum or user group? This is...,Where can I find your community forum or user group? This is really frustrating. ,General Inquiry,Low
TKT-00016,Server returns 500 error on every API call since this mornin...,Server returns 500 error on every API call since this morning. Production blocked. Please prioritize this. ,Technical,High
TKT-00017,Is there an API rate-limit increase available for our curren...,Is there an API rate-limit increase available for our current plan?,General Inquiry,Medium
TKT-00018,I cancelled my plan last week but was still charged the full...,I cancelled my plan last week but was still charged the full annual fee today.,Billing,High
TKT-00019,Please prioritize this. Account suspended without explanatio...,Please prioritize this. Account suspended without explanation. I have a client demo in one hour!,Account Access,High
TKT-00020,"Dear support, Is there a mobile app available for Android?","Dear support, Is there a mobile app available for Android?",General Inquiry,Low
TKT-00021,FYI — Do you have case studies from companies in the healthc...,FYI — Do you have case studies from companies in the healthcare sector? Thanks in advance. ,General Inquiry,Medium
TKT-00022,What are the password complexity requirements?,What are the password complexity requirements?,Account Access,Low
TKT-00023,FYI — Executive sponsor wants a migration timeline document ...,FYI — Executive sponsor wants a migration timeline document before signing the PO.,General Inquiry,High
TKT-00024,Can you explain the extra fee on my latest invoice? FYI — ,Can you explain the extra fee on my latest invoice? FYI — ,Billing,Medium
TKT-00025,Can we get a dedicated account manager for our organization?,Can we get a dedicated account manager for our organization?,General Inquiry,Medium
TKT-00026,The SLA breach count has exceeded the threshold. Requesting ...,The SLA breach count has exceeded the threshold. Requesting formal review.,General Inquiry,High
TKT-00027,My credit card was billed $500 instead of $50. This is urgen...,"My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00028,"Hi team, File uploads fail silently when the file size excee...","Hi team, File uploads fail silently when the file size exceeds 10 MB. Also, ",Technical,Medium
TKT-00029,What are your customer support hours on weekends?,What are your customer support hours on weekends?,General Inquiry,Low
TKT-00030,Can I change the display name shown on my profile? Looking f...,Can I change the display name shown on my profile? Looking forward to a quick resolution. ,Account Access,Low
TKT-00031,Hoping someone can assist. Is there an option to set a profi...,Hoping someone can assist. Is there an option to set a profile picture? Hoping someone can assist. ,Account Access,Low
TKT-00032,Where can I find my account ID or customer number?,Where can I find my account ID or customer number?,Account Access,Low
TKT-00033,The discount I was promised during sign-up isn't reflected o...,The discount I was promised during sign-up isn't reflected on my bill.,Billing,Medium
TKT-00034,Please prioritize this. Push notifications are delayed by se...,Please prioritize this. Push notifications are delayed by several hours on the mobile app.,Technical,Medium
TKT-00035,I'd like to switch from monthly to annual billing. What are ...,I'd like to switch from monthly to annual billing. What are the steps?,Billing,Medium
TKT-00036,"Dear support, How do I view my login history for security re...","Dear support, How do I view my login history for security review?",Account Access,Low
TKT-00037,Can I get a breakdown of charges for the last six months?,Can I get a breakdown of charges for the last six months?,Billing,Low
TKT-00038,Integration with our CRM completely broke after your last de...,Integration with our CRM completely broke after your last deployment.,Technical,High
TKT-00039,What is the process for submitting a feature request?,What is the process for submitting a feature request?,General Inquiry,Medium
TKT-00040,"Hello, Need a copy of my invoice from last quarter for tax p...","Hello, Need a copy of my invoice from last quarter for tax purposes. Thanks in advance. ",Billing,Medium
TKT-00041,This is really frustrating. Integration with our CRM complet...,This is really frustrating. Integration with our CRM completely broke after your last deployment.,Technical,High
TKT-00042,Critical data loss after the latest update. We need recovery...,Critical data loss after the latest update. We need recovery immediately.,Technical,High
TKT-00043,"Dear support, Need a copy of my invoice from last quarter fo...","Dear support, Need a copy of my invoice from last quarter for tax purposes. FYI — ",Billing,Medium
TKT-00044,"Dear support, Where can I read your terms of service and pri...","Dear support, Where can I read your terms of service and privacy policy?",General Inquiry,Low
TKT-00045,"Hi team, Critical data loss after the latest update. We need...","Hi team, Critical data loss after the latest update. We need recovery immediately.",Technical,High
TKT-00046,Unauthorized login detected from a foreign IP. Lock my accou...,Unauthorized login detected from a foreign IP. Lock my account immediately. Looking forward to a quick resolution. ,Account Access,High
TKT-00047,This is really frustrating. Can you provide a comparison bet...,This is really frustrating. Can you provide a comparison between the Pro and Enterprise tiers?,General Inquiry,Medium
TKT-00048,Thanks in advance. Need a copy of my invoice from last quart...,Thanks in advance. Need a copy of my invoice from last quarter for tax purposes.,Billing,Medium
TKT-00049,Please note: I'm completely locked out after too many failed...,Please note: I'm completely locked out after too many failed login attempts. Please unlock.,Account Access,High
TKT-00050,I want to downgrade my plan. Will I receive a prorated refun...,I want to downgrade my plan. Will I receive a prorated refund?,Billing,Medium
TKT-00051,Can you explain the extra fee on my latest invoice?,Can you explain the extra fee on my latest invoice?,Billing,Medium
TKT-00052,My credit card was billed $500 instead of $50. This is urgen...,"My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00053,How do I set up automatic payments for my subscription? Hi t...,"How do I set up automatic payments for my subscription? Hi team, ",Billing,Low
TKT-00054,"Hi team, Unauthorized charge on my account. I did not author...","Hi team, Unauthorized charge on my account. I did not authorize this transaction at all. Hoping someone can assist. ",Billing,High
TKT-00055,"My session keeps expiring every few minutes, forcing me to r...","My session keeps expiring every few minutes, forcing me to re-login.",Account Access,Medium
TKT-00056,Urgent: Where do I manage email notification preferences? Al...,"Urgent: Where do I manage email notification preferences? Also, ",Account Access,Low
TKT-00057,We are evaluating your product for a 5000-seat enterprise de...,We are evaluating your product for a 5000-seat enterprise deal. Need info ASAP. Appreciate your help. ,General Inquiry,High
TKT-00058,Thanks in advance. I need to transfer ownership of this acco...,Thanks in advance. I need to transfer ownership of this account to a colleague. FYI — ,Account Access,Medium
TKT-00059,I'd like to switch from monthly to annual billing. What are ...,"I'd like to switch from monthly to annual billing. What are the steps? By the way, ",Billing,Medium
TKT-00060,Need an emergency meeting with your solutions architect befo...,"Need an emergency meeting with your solutions architect before our board call. By the way, ",General Inquiry,High
TKT-00061,My admin privileges were revoked and I can no longer manage ...,My admin privileges were revoked and I can no longer manage our team. This is really frustrating. ,Account Access,High
TKT-00062,FYI — The mobile app icon looks blurry on high-resolution sc...,FYI — The mobile app icon looks blurry on high-resolution screens.,Technical,Low
TKT-00063,Hoping someone can assist. Two-factor authentication emails ...,Hoping someone can assist. Two-factor authentication emails are arriving with a 15-minute delay.,Technical,Medium
TKT-00064,Subscription auto-renewed after I explicitly opted out. Refu...,Subscription auto-renewed after I explicitly opted out. Refund required urgently.,Billing,High
TKT-00065,I'd like to switch from monthly to annual billing. What are ...,I'd like to switch from monthly to annual billing. What are the steps?,Billing,Medium
TKT-00066,Do you offer any nonprofit pricing or special plans?,Do you offer any nonprofit pricing or special plans?,Billing,Low
TKT-00067,We've been waiting for days. Would love an option to customi...,We've been waiting for days. Would love an option to customize the color theme of the interface.,Technical,Low
TKT-00068,The dashboard loads very slowly — takes over 30 seconds ever...,The dashboard loads very slowly — takes over 30 seconds every time.,Technical,Medium
TKT-00069,Can you provide a comparison between the Pro and Enterprise ...,"Can you provide a comparison between the Pro and Enterprise tiers? By the way, ",General Inquiry,Medium
TKT-00070,Appreciate your help. My promo code didn't apply at checkout...,"Appreciate your help. My promo code didn't apply at checkout. Can someone look into this? Hello, ",Billing,Medium
TKT-00071,Application crashes on login for all users in our organizati...,Application crashes on login for all users in our organization. Please prioritize this. ,Technical,High
TKT-00072,My credit card was billed $500 instead of $50. This is urgen...,"My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00073,FYI — I was charged twice for my subscription this month and...,FYI — I was charged twice for my subscription this month and need an immediate refund.,Billing,High
TKT-00074,Search functionality returns irrelevant results for exact-ma...,Search functionality returns irrelevant results for exact-match queries.,Technical,Medium
TKT-00075,Please prioritize this. My account has been locked and I can...,Please prioritize this. My account has been locked and I cannot reset my password. Need access now!,Account Access,High
TKT-00076,Just wondering when the next billing cycle starts.,Just wondering when the next billing cycle starts.,Billing,Low
TKT-00077,Urgent: How do I set up automatic payments for my subscripti...,Urgent: How do I set up automatic payments for my subscription?,Billing,Low
TKT-00078,Please note: Duplicate billing on invoice #98321. Escalate t...,Please note: Duplicate billing on invoice #98321. Escalate this immediately.,Billing,High
TKT-00079,Can you add an option to sort tickets by creation date in as...,Can you add an option to sort tickets by creation date in ascending order?,Technical,Low
